,Company Name,Form Type,CIK,Date Filed,File Name,Date_filed
12102,AMERICAN ITALIAN PASTA CO,10-Q,849667,2005-02-09,edgar/data/849667/0000922907-05-000097.txt,2005-02-09
12200,AMERICAN MEDIA OPERATIONS INC,10-Q,853927,2005-02-09,edgar/data/853927/0001193125-05-023449.txt,2005-02-09
12323,AMERICAN PACIFIC CORP,10-Q,350832,2005-02-14,edgar/data/350832/0000950153-05-000270.txt,2005-02-14
12482,AMERICAN ROCK SALT CO LLC,10-Q,1073713,2005-02-10,edgar/data/1073713/0001193125-05-024850.txt,2005-02-10
12499,AMERICAN SCIENCE & ENGINEERING INC,10-Q,5768,2005-02-03,edgar/data/5768/0001104659-05-003868.txt,2005-02-03
12603,AMERICAN SKIING CO /ME,10-Q,1043432,2005-03-16,edgar/data/1043432/0001043432-05-000006.txt,2005-03-16
12612,AMERICAN SOFTWARE INC,10-Q,713425,2005-03-14,edgar/data/713425/0001193125-05-049467.txt,2005-03-14
12769,AMERICAN SUPERCONDUCTOR CORP /DE/,10-Q,880807,2005-02-03,edgar/data/880807/0001193125-05-018392.txt,2005-02-03
12781,AMERICAN TECHNICAL CERAMICS CORP,10-Q,766430,2005-02-14,edgar/data/766430/0000950136-05-000765.txt,2005-02-14
12792,AMERICAN TECHNOLOGY CORP /DE/,10-Q,924383,2005-02-11,edgar/data/924383/0001019687-05-000351.txt,2005-02-11
12890,AMERICAN WOODMARK CORP,10-Q,794619,2005-03-09,edgar/data/794619/0000794619-05-000029.txt,2005-03-09
12928,AMERICAS CARMART INC,10-Q,799850,2005-03-10,edgar/data/799850/0001104659-05-010434.txt,2005-03-10
12962,AMERICREDIT CORP,10-Q,804269,2005-02-09,edgar/data/804269/0001193125-05-023002.txt,2005-02-09
12987,AMERIGAS EAGLE FINANCE CORP,10-Q,1161869,2005-02-09,edgar/data/1161869/0000893220-05-000267.txt,2005-02-09
12988,AMERIGAS FINANCE CORP,10-Q,945792,2005-02-09,edgar/data/945792/0000893220-05-000267.txt,2005-02-09
13212,AMERISOURCEBERGEN CORP,10-Q,1140859,2005-02-07,edgar/data/1140859/0001193125-05-020987.txt,2005-02-07
13291,AMERITRADE HOLDING CORP,10-Q,1173431,2005-02-08,edgar/data/1173431/0000950137-05-001301.txt,2005-02-08
13313,AMERITRANS CAPITAL CORP,10-Q,1064015,2005-02-14,edgar/data/1064015/0001064015-05-000011.txt,2005-02-14
13489,AMF BOWLING WORLDWIDE INC,10-Q,1015535,2005-02-09,edgar/data/1015535/0001193125-05-023324.txt,2005-02-09
13840,AMREP CORP,10-Q,6207,2005-03-15,edgar/data/6207/0000006207-05-000003.txt,2005-03-15
13962,AMTECH SYSTEMS INC,10-Q,720500,2005-02-15,edgar/data/720500/0000950153-05-000275.txt,2005-02-15
14102,AMX CORP /TX/,10-Q,944248,2005-02-14,edgar/data/944248/0001193125-05-029197.txt,2005-02-14
14286,ANALOG DEVICES INC,10-Q,6281,2005-02-15,edgar/data/6281/0000950135-05-000824.txt,2005-02-15
14306,ANALOGIC CORP,10-Q,6284,2005-02-01,edgar/data/6284/0000950135-05-000379.txt,2005-02-01
14381,ANALYTICAL SURVEYS INC,10-Q,753048,2005-02-14,edgar/data/753048/0001193125-05-029353.txt,2005-02-14
14398,ANCHOR BANCORP WISCONSIN INC,10-Q,885322,2005-02-04,edgar/data/885322/0000950137-05-001184.txt,2005-02-04
14802,ANDREW CORP,10-Q,317093,2005-02-08,edgar/data/317093/0000950137-05-001369.txt,2005-02-08
14999,ANGIODYNAMICS INC,10-Q,1275187,2005-01-10,edgar/data/1275187/0001193125-05-003755.txt,2005-01-10
15337,ANSOFT CORP,10-Q,849433,2005-02-18,edgar/data/849433/0000950152-05-001361.txt,2005-02-18
15576,ANZA CAPITAL INC,10-Q,926844,2005-03-22,edgar/data/926844/0001144204-05-008395.txt,2005-03-22
15678,AP EAGLE FINANCE CORP,10-Q,1161868,2005-02-09,edgar/data/1161868/0000893220-05-000267.txt,2005-02-09
15702,"APA Enterprises, Inc.",10-Q,796505,2005-02-10,edgar/data/796505/0001015402-05-000652.txt,2005-02-10
16017,APO HEALTH INC /NV/,10-Q,1076607,2005-02-14,edgar/data/1076607/0001013762-05-000207.txt,2005-02-14
16022,APOGEE ENTERPRISES INC,10-Q,6845,2005-01-04,edgar/data/6845/0001193125-05-000872.txt,2005-01-04
16085,APOLLO GROUP INC,10-Q,929887,2005-01-10,edgar/data/929887/0000950124-05-000102.txt,2005-01-10
16100,APOLLO INVESTMENT CORP,10-Q,1278752,2005-02-07,edgar/data/1278752/0000947871-05-000318.txt,2005-02-07
16183,APPLE COMPUTER INC,10-Q,320193,2005-02-01,edgar/data/320193/0001104659-05-003520.txt,2005-02-01
16279,APPLERA CORP,10-Q,77551,2005-02-07,edgar/data/77551/0001125282-05-000493.txt,2005-02-07
16386,APPLIED EXTRUSION TECHNOLOGIES INC /DE,10-Q,874389,2005-02-28,edgar/data/874389/0001104659-05-008577.txt,2005-02-28
16400,APPLIED FILMS CORP,10-Q,1040660,2005-02-03,edgar/data/1040660/0000926044-05-000075.txt,2005-02-03
16415,APPLIED IMAGING CORP,10-Q,816066,2005-03-01,edgar/data/816066/0001193125-05-039825.txt,2005-03-01
16431,APPLIED INDUSTRIAL TECHNOLOGIES INC,10-Q,109563,2005-02-09,edgar/data/109563/0000950152-05-000888.txt,2005-02-09
16503,APPLIED MATERIALS INC /DE,10-Q,6951,2005-03-01,edgar/data/6951/0000950134-05-003994.txt,2005-03-01
16528,APPLIED MICRO CIRCUITS CORP,10-Q,711065,2005-02-02,edgar/data/711065/0001193125-05-016593.txt,2005-02-02
16560,APPLIED SIGNAL TECHNOLOGY INC,10-Q,741696,2005-03-08,edgar/data/741696/0000741696-05-000008.txt,2005-03-08
16587,APPLIED SPECTRUM TECHNOLOGIES INC,10-Q,705868,2005-01-27,edgar/data/705868/0001072613-05-000143.txt,2005-01-27
16882,ARAMARK CORP/DE,10-Q,1144528,2005-02-09,edgar/data/1144528/0001193125-05-023516.txt,2005-02-09
